date,quintile,pre_vol,is_signal,in_analysis_period
1990-01-02,,,False,False
1990-01-03,,,False,False
1990-01-04,,,False,False
1990-01-05,,,False,False
1990-01-08,,,False,False
1990-01-09,,,False,False
1990-01-10,,,False,False
1990-01-11,,,False,False
1990-01-12,,,False,False
1990-01-15,,,False,False
1990-01-16,,,False,False
1990-01-17,,,False,False
1990-01-18,,,False,False
1990-01-19,,,False,False
1990-01-22,,0.010733966991949076,True,False
1990-01-23,,0.011019773365783952,False,False
1990-01-24,,0.010990793942635114,False,False
1990-01-25,,0.011110686190947423,False,False
1990-01-26,,0.01082791874740232,False,False
1990-01-29,,0.010733573870509976,False,False
1990-01-30,,0.01073604271410815,False,False
1990-01-31,,0.012333291378330164,False,False
1990-02-01,,0.010778204830667635,False,False
1990-02-02,,0.010857794801645181,False,False
1990-02-05,,0.01034650699273999,False,False
1990-02-06,,0.01018839037541394,False,False
1990-02-07,,0.010820231025079185,False,False
1990-02-08,,0.01076971190997413,False,False
1990-02-09,,0.00805173948933938,False,False
1990-02-12,,0.008539774548416585,False,False
1990-02-13,,0.008506365737324608,False,False
1990-02-14,,0.007668654986328311,False,False
1990-02-15,,0.00788122413404268,False,False
1990-02-16,,0.008148158302828109,False,False
1990-02-20,,0.008951138002528806,False,False
1990-02-21,,0.007380210810180094,False,False
1990-02-22,,0.007537665417302077,False,False
1990-02-23,,0.007314482421543888,False,False
1990-02-26,,0.008335772129839752,False,False
1990-02-27,,0.008270159203949157,False,False
1990-02-28,,0.00764273760463742,False,False
1990-03-01,,0.007658449875736977,False,False
1990-03-02,,0.007973287453508485,False,False
1990-03-05,,0.007520512782751382,False,False
1990-03-06,,0.008138370060489241,False,False
1990-03-07,,0.008206248651185582,False,False
1990-03-08,,0.008294701742338128,False,False
1990-03-09,,0.008323660923126605,False,False
1990-03-12,,0.007040327850130168,False,False
1990-03-13,,0.0075160394640455515,False,False
1990-03-14,,0.0071709907541790295,False,False
1990-03-15,,0.006868696296917069,False,False
1990-03-16,,0.0065867060153328005,False,False
1990-03-19,,0.006584437925609917,False,False
1990-03-20,,0.006927791288953945,False,False
1990-03-21,,0.007202131358300964,False,False
1990-03-22,,0.007740316975907251,False,False
1990-03-23,,0.007660770612346768,False,False
1990-03-26,,0.006885763591089264,False,False
1990-03-27,,0.007468099334837062,False,False
1990-03-28,,0.007027762403013294,False,False
1990-03-29,,0.006814969360610745,False,False
1990-03-30,,0.006846075921036077,False,False
1990-04-02,,0.006542317460551615,False,False
1990-04-03,,0.007522785522641553,False,False
1990-04-04,,0.00785034215750934,False,False
1990-04-05,,0.007229778338174087,False,False
1990-04-06,,0.007094881853914729,False,False
1990-04-09,,0.007034168104802272,False,False
1990-04-10,,0.0068795054640724725,False,False
1990-04-11,,0.0058888120383888765,False,False
1990-04-12,,0.0060309928567830445,False,False
1990-04-16,,0.00603120173992426,False,False
1990-04-17,,0.005319794584068776,False,False
1990-04-18,,0.006229098078728737,False,False
1990-04-19,,0.006494911053904816,False,False
1990-04-20,,0.006849816847626764,False,False
1990-04-23,,0.007458621698456889,False,False
1990-04-24,,0.005845587313917538,False,False
1990-04-25,,0.006034210173253205,False,False
1990-04-26,,0.00615669638597623,False,False
1990-04-27,,0.00669797076503199,False,False
1990-04-30,,0.006800713798829568,False,False
1990-05-01,,0.006940636487469789,False,False
1990-05-02,,0.0073213536957214345,False,False
1990-05-03,,0.007042192437927183,False,False
1990-05-04,,0.007525545058495783,False,False
1990-05-07,,0.007796246574655813,False,False
1990-05-08,,0.007258417078366793,False,False
1990-05-09,,0.006894900669033258,False,False
1990-05-10,,0.006294568268325422,False,False
1990-05-11,,0.007320140382482069,False,False
1990-05-14,,0.007121700748393296,False,False
1990-05-15,,0.00732528898459441,False,False
1990-05-16,,0.007454008498316199,False,False
1990-05-17,,0.00599501717199024,False,False
1990-05-18,,0.0061325738289112796,False,False
1990-05-21,,0.006242603491292119,False,False
1990-05-22,,0.00632263794059552,False,False
1990-05-23,,0.006344329799307224,False,False
1990-05-24,,0.006542487927209098,False,False
1990-05-25,,0.0076024370931609304,False,False
1990-05-29,,0.008486518717985454,False,False
1990-05-30,,0.008524162530910998,False,False
1990-05-31,,0.008550990839504122,False,False
1990-06-01,,0.006389847920734648,False,False
1990-06-04,,0.006718886842330866,False,False
1990-06-05,,0.006754393253812411,False,False
1990-06-06,,0.006967760015783942,False,False
1990-06-07,,0.00722552031308647,False,False
1990-06-08,,0.008144426902039176,False,False
1990-06-11,,0.00804387883384353,False,False
1990-06-12,,0.008659632540271963,False,False
1990-06-13,,0.008765668266155473,False,False
1990-06-14,,0.008897484224756969,False,False
1990-06-15,,0.008256833382707088,False,False
1990-06-18,,0.008364436582338902,False,False
1990-06-19,,0.008474783265377098,False,False
1990-06-20,,0.00848697711973654,False,False
1990-06-21,,0.008417150407733588,False,False
1990-06-22,,0.008367212618912013,False,False
1990-06-25,,0.008541345947549022,False,False
1990-06-26,,0.008543367369377445,False,False
1990-06-27,,0.009016993327368784,False,False
1990-06-28,,0.008723739593639113,False,False
1990-06-29,,0.008404510470636537,False,False
1990-07-02,,0.0076350940853545735,False,False
1990-07-03,,0.0076428594745087414,False,False
1990-07-05,,0.008176917860602638,False,False
1990-07-06,,0.008529912304046027,False,False
1990-07-09,,0.00724151058380065,False,False
1990-07-10,,0.007520603896340189,False,False
1990-07-11,,0.008349822401583282,False,False
1990-07-12,,0.008837083654232105,False,False
1990-07-13,,0.007741982516910096,False,False
1990-07-16,,0.00705140960338087,False,False
1990-07-17,,0.007238634716262484,False,False
1990-07-18,,0.00771138767709149,False,False
1990-07-19,,0.007577931850688669,False,False
1990-07-20,,0.008202950154592601,False,False
1990-07-23,,0.00945762971070397,False,False
1990-07-24,,0.009450363013685245,False,False
1990-07-25,,0.008888955576296336,False,False
1990-07-26,,0.008668379093967747,False,False
1990-07-27,,0.008764827567394752,False,False
1990-07-30,,0.008694669453512023,False,False
1990-07-31,,0.007831430206636632,False,False
1990-08-01,,0.006941552352792881,False,False
1990-08-02,,0.007051715738270418,False,False
1990-08-03,,0.007850044020928183,False,False
1990-08-06,,0.010447645485472076,True,False
1990-08-07,,0.010631224070957306,False,False
1990-08-08,,0.01128330683642169,False,False
1990-08-09,,0.01150320085916834,False,False
1990-08-10,,0.01116578851467533,False,False
1990-08-13,,0.011702423200905827,False,False
1990-08-14,,0.011619680984037933,False,False
1990-08-15,,0.011716270470202395,False,False
1990-08-16,,0.012816372550224745,False,False
1990-08-17,,0.012677879059605492,True,False
1990-08-20,,0.01269581635136122,False,False
1990-08-21,,0.013214147122753194,False,False
1990-08-22,,0.013416926675277403,False,False
1990-08-23,,0.014478013558511143,False,False
1990-08-24,,0.014119057981509257,False,False
1990-08-27,,0.0171325616487688,False,False
1990-08-28,,0.016722801267968792,False,False
1990-08-29,,0.01691781275308822,False,False
1990-08-30,,0.0171243307790521,False,False
1990-08-31,,0.017264724720769776,False,False
1990-09-04,,0.01726517957028056,False,False
1990-09-05,,0.017323682412855382,False,False
1990-09-06,,0.016625063356034947,False,False
1990-09-07,,0.016566632131574412,False,False
1990-09-10,,0.016582988028642505,False,False
1990-09-11,,0.015668723479476357,False,False
1990-09-12,,0.014966552705669283,False,False
1990-09-13,,0.012587475140008743,False,False
1990-09-14,,0.012288624278197244,False,False
1990-09-17,,0.008763143661707164,False,False
1990-09-18,,0.008810804897280245,False,False
1990-09-19,,0.008485410964027537,False,False
1990-09-20,,0.00838353242421138,False,False
1990-09-21,,0.007429276909221622,False,False
1990-09-24,,0.00891830959799347,True,False
1990-09-25,,0.009702616455964598,False,False
1990-09-26,,0.009594500735292144,False,False
1990-09-27,,0.00919740593222309,True,False
1990-09-28,,0.010893461223418013,False,False
1990-10-01,,0.013892480119551787,False,False
1990-10-02,,0.013802335689890236,False,False
1990-10-03,,0.013803912337765265,False,False
1990-10-04,,0.013831075329619765,False,False
1990-10-05,,0.013802548232573347,False,False
1990-10-08,,0.013921752779457761,False,False
1990-10-09,,0.015529373974201321,False,False
